TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,COLUMN_DEFAULT,IS_PRIMARY_KEY
dbo,log1040,fcurTotalAdditionalDeductions,101,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalDeductions,102,money,NULL,NO,NULL,NO
dbo,log1040,fcurTaxableIncome,103,money,NULL,NO,NULL,NO
dbo,log1040,fstrScheduleQCode,104,nvarchar,5,NO,NULL,NO
dbo,log1040,fcurTax,105,money,NULL,NO,NULL,NO
dbo,log1040,fblnForm8814,106,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnForm4972,107,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnOtherIncomeAmounts,108,tinyint,NULL,NO,NULL,NO
dbo,log1040,fcurAdditionalTax,109,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalTaxBeforeCrAndOthTax,110,money,NULL,NO,NULL,NO
dbo,log1040,fcurCTCODC,111,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalNonrefundableCredits,112,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalCredits,113,money,NULL,NO,NULL,NO
dbo,log1040,fcurTaxLessCredits,114,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalOtherTaxes,115,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalTax,116,money,NULL,NO,NULL,NO
dbo,log1040,fcurFormW2TaxWithheld,117,money,NULL,NO,NULL,NO
dbo,log1040,fcurForm1099TaxWithheld,118,money,NULL,NO,NULL,NO
dbo,log1040,fcurOtherFormsTaxWithheld,119,money,NULL,NO,NULL,NO
dbo,log1040,fcurWithholdingTax,120,money,NULL,NO,NULL,NO
dbo,log1040,fcurEstimatedTaxPayments,121,money,NULL,NO,NULL,NO
dbo,log1040,fcurEarnedIncomeCredit,122,money,NULL,NO,NULL,NO
dbo,log1040,fstrEICEligibilityLiteralCode,123,nvarchar,10,NO,NULL,NO
dbo,log1040,fblnClergyMember,124,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnDoNotClaimEIC,125,tinyint,NULL,NO,NULL,NO
dbo,log1040,fcurAdditionalChildTaxCredit,126,money,NULL,NO,NULL,NO
dbo,log1040,fblnDoNotClaimACTC,127,tinyint,NULL,NO,NULL,NO
dbo,log1040,fcurRefundableAmerOppCredit,128,money,NULL,NO,NULL,NO
dbo,log1040,fcurRecoveryRebateCredit,129,money,NULL,NO,NULL,NO
dbo,log1040,fcurRefundableAdoptionCredit,130,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalOtherPymtsRfdblCredit,131,money,NULL,NO,NULL,NO
dbo,log1040,fcurRefundableCredits,132,money,NULL,NO,NULL,NO
dbo,log1040,fcurTotalPayments,133,money,NULL,NO,NULL,NO
dbo,log1040,fcurOverpayment,134,money,NULL,NO,NULL,NO
dbo,log1040,fcurRefund,135,money,NULL,NO,NULL,NO
dbo,log1040,fblnForm8888,136,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrRoutingTransitNumber,137,nvarchar,9,NO,NULL,NO
dbo,log1040,fstrBankAccountTypeCd,138,nvarchar,1,NO,NULL,NO
dbo,log1040,fstrDepositorAccountNum,139,nvarchar,17,NO,NULL,NO
dbo,log1040,fcurAppliedToEsTax,140,money,NULL,NO,NULL,NO
dbo,log1040,fcurAmountOwed,141,money,NULL,NO,NULL,NO
dbo,log1040,fcurEsPenalty,142,money,NULL,NO,NULL,NO
dbo,log1040,fblnThirdPartyDesignee,143,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrThirdPartyDesigneeName,144,nvarchar,35,NO,NULL,NO
dbo,log1040,fstrThirdPartyDesigneePhone,145,nvarchar,10,NO,NULL,NO
dbo,log1040,fstrThirdPartyDesigneePIN,146,nvarchar,5,NO,NULL,NO
dbo,log1040,fblnPowerOfAttorneySigned,147,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrPowerOfAttorneyName,148,nvarchar,35,NO,NULL,NO
dbo,log1040,fstrPrimaryOccupation,149,nvarchar,35,NO,NULL,NO
dbo,log1040,fstrSpouseOccupation,150,nvarchar,35,NO,NULL,NO
dbo,log1040,fblnSurvivingSpouse,151,tinyint,NULL,NO,NULL,NO
dbo,log1040,fblnPersonalRepresentative,152,tinyint,NULL,NO,NULL,NO
dbo,log1040,fstrNonPaidPreparerCode,153,nvarchar,12,NO,NULL,NO
dbo,log1040,fstrRefundProductCodeDetails,154,nvarchar,50,NO,NULL,NO
dbo,log1040,fstrWho,155,nvarchar,10,NO,NULL,NO
dbo,log1040,fdtmWhen,156,datetime,NULL,NO,NULL,NO
dbo,log1040Dependents,fdtmLog,1,datetime,NULL,NO,NULL,YES
dbo,log1040Dependents,flngXmlKey,2,int,NULL,NO,NULL,YES
dbo,log1040Dependents,flngSequence,3,int,NULL,NO,NULL,YES
dbo,log1040Dependents,flngVer,4,int,NULL,NO,NULL,YES
dbo,log1040Dependents,flngVerLast,5,int,NULL,NO,NULL,NO
dbo,log1040Dependents,fstrFirstName,6,nvarchar,20,NO,NULL,NO
dbo,log1040Dependents,fstrLastName,7,nvarchar,20,NO,NULL,NO
dbo,log1040Dependents,fstrNameControl,8,nvarchar,10,NO,NULL,NO
dbo,log1040Dependents,fstrIdentityProtectionPIN,9,nvarchar,6,NO,NULL,NO
dbo,log1040Dependents,fstrSSN,10,nvarchar,9,NO,NULL,NO
dbo,log1040Dependents,fstrDiedLiteralCode,11,nvarchar,4,NO,NULL,NO
dbo,log1040Dependents,fstrRelationshipCode,12,nvarchar,12,NO,NULL,NO
dbo,log1040Dependents,fblnYesLiveWithChildOverHalfYr,13,tinyint,NULL,NO,NULL,NO
dbo,log1040Dependents,fblnYesLiveWithChldUSOvrHalfYr,14,tinyint,NULL,NO,NULL,NO
dbo,log1040Dependents,fblnChildIsAStudentUnder24,15,tinyint,NULL,NO,NULL,NO
dbo,log1040Dependents,fblnChildPermanentlyDisabled,16,tinyint,NULL,NO,NULL,NO
dbo,log1040Dependents,fblnEligibleForChildTaxCredit,17,tinyint,NULL,NO,NULL,NO
dbo,log1040Dependents,fblnEligibleForODCChild,18,tinyint,NULL,NO,NULL,NO
dbo,log1040Dependents,fstrWho,19,nvarchar,10,NO,NULL,NO
dbo,log1040Dependents,fdtmWhen,20,datetime,NULL,NO,NULL,NO
dbo,log1040Form8854DeferredTax,fdtmLog,1,datetime,NULL,NO,NULL,YES
dbo,log1040Form8854DeferredTax,flngXmlKey,2,int,NULL,NO,NULL,YES
dbo,log1040Form8854DeferredTax,flngSequence,3,int,NULL,NO,NULL,YES
dbo,log1040Form8854DeferredTax,flngVer,4,int,NULL,NO,NULL,YES
dbo,log1040Form8854DeferredTax,flngVerLast,5,int,NULL,NO,NULL,NO
dbo,log1040Form8854DeferredTax,fcurTotalTaxDeferred,6,money,NULL,NO,NULL,NO
dbo,log1040Form8854DeferredTax,fstrExpatriationCode,7,nvarchar,3,NO,NULL,NO
dbo,log1040Form8854DeferredTax,fstrWho,8,nvarchar,10,NO,NULL,NO
dbo,log1040Form8854DeferredTax,fdtmWhen,9,datetime,NULL,NO,NULL,NO
dbo,log1040IRADistributions,fdtmLog,1,datetime,NULL,NO,NULL,YES
dbo,log1040IRADistributions,flngXmlKey,2,int,NULL,NO,NULL,YES
dbo,log1040IRADistributions,flngSequence,3,int,NULL,NO,NULL,YES
dbo,log1040IRADistributions,flngIRASeq,4,int,NULL,NO,NULL,YES
dbo,log1040IRADistributions,flngVer,5,int,NULL,NO,NULL,YES
dbo,log1040IRADistributions,flngVerLast,6,int,NULL,NO,NULL,NO
dbo,log1040IRADistributions,fstrIRADistributionsLiteralCd,7,nvarchar,8,NO,NULL,NO
dbo,log1040IRADistributions,fstrWho,8,nvarchar,10,NO,NULL,NO
dbo,log1040IRADistributions,fdtmWhen,9,datetime,NULL,NO,NULL,NO
dbo,log1040NR,fdtmLog,1,datetime,NULL,NO,NULL,YES
dbo,log1040NR,flngXmlKey,2,int,NULL,NO,NULL,YES
dbo,log1040NR,flngSequence,3,int,NULL,NO,NULL,YES
dbo,log1040NR,flngVer,4,int,NULL,NO,NULL,YES
dbo,log1040NR,flngVerLast,5,int,NULL,NO,NULL,NO
dbo,log1040NR,fblnAmended,6,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnSupersededReturn,7,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnAddressChanged,8,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnProtectiveReturn,9,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnFiledPursuantToSec30191002,10,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnCombatZone,11,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fstrCombatZoneText,12,nvarchar,30,NO,NULL,NO
dbo,log1040NR,fblnDeceased,13,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fdtmPrimaryDateOfDeath,14,datetime,NULL,NO,NULL,NO
dbo,log1040NR,fdtmSpouseDateofDeath,15,datetime,NULL,NO,NULL,NO
dbo,log1040NR,fblnOther,16,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fstrFilingStatus,17,nvarchar,1,NO,NULL,NO
dbo,log1040NR,fstrQualifyingPersonFirstName,18,nvarchar,20,NO,NULL,NO
dbo,log1040NR,fstrQualifyingPersonLastName,19,nvarchar,20,NO,NULL,NO
dbo,log1040NR,fstrQualifyingPersonSSN,20,nvarchar,9,NO,NULL,NO
dbo,log1040NR,fblnVirtualCurAcquiredDurTY,21,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fblnMoreDependents,22,tinyint,NULL,NO,NULL,NO
dbo,log1040NR,fintTotalExemptionsPrimeSpouse,23,smallint,NULL,NO,NULL,NO
dbo,log1040NR,fintChildCount,24,smallint,NULL,NO,NULL,NO
dbo,log1040NR,fintOtherDependentCount,25,smallint,NULL,NO,NULL,NO
dbo,log1040NR,fintTotalExemptionsCount,26,smallint,NULL,NO,NULL,NO
dbo,log1040NR,fcurFormW2Wages,27,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurHouseholdEmployeeWages,28,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTipIncomeWages,29,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurMedicaidWaiverPymtNotRpt,30,money,NULL,NO,NULL,NO
dbo,log1040NR,fcurTaxableBenefits,31,money,NULL,NO,NULL,NO
